2  -0.5
2  -0.4
2  -0.3
2  -0.2
2  -0.1
2  -2.77556e-17
2  0.1
2  0.2
2  0.3
2  0.4
2  0.5
2.1  -0.5
2.1  -0.4
2.1  -0.3
2.1  -0.2
2.1  -0.1
2.1  -2.77556e-17
2.1  0.1
2.1  0.2
2.1  0.3
2.1  0.4
2.1  0.5
2.2  -0.5
2.2  -0.4
2.2  -0.3
2.2  -0.2
2.2  -0.1
2.2  -2.77556e-17
2.2  0.1
2.2  0.2
2.2  0.3
2.2  0.4
2.2  0.5
2.3  -0.5
2.3  -0.4
2.3  -0.3
2.3  -0.2
2.3  -0.1
2.3  -2.77556e-17
2.3  0.1
2.3  0.2
2.3  0.3
2.3  0.4
2.3  0.5
2.4  -0.5
2.4  -0.4
2.4  -0.3
2.4  -0.2
2.4  -0.1
2.4  -2.77556e-17
2.4  0.1
2.4  0.2
2.4  0.3
2.4  0.4
2.4  0.5
2.5  -0.5
2.5  -0.4
2.5  -0.3
2.5  -0.2
2.5  -0.1
2.5  -2.77556e-17
2.5  0.1
2.5  0.2
2.5  0.3
2.5  0.4
2.5  0.5
2.6  -0.5
2.6  -0.4
2.6  -0.3
2.6  -0.2
2.6  -0.1
2.6  -2.77556e-17
2.6  0.1
2.6  0.2
2.6  0.3
2.6  0.4
2.6  0.5
2.7  -0.5
2.7  -0.4
2.7  -0.3
2.7  -0.2
2.7  -0.1
2.7  -2.77556e-17
2.7  0.1
2.7  0.2
2.7  0.3
2.7  0.4
2.7  0.5
2.8  -0.5
2.8  -0.4
2.8  -0.3
2.8  -0.2
2.8  -0.1
2.8  -2.77556e-17
2.8  0.1
2.8  0.2
2.8  0.3
2.8  0.4
2.8  0.5
2.9  -0.5
2.9  -0.4
2.9  -0.3
2.9  -0.2
2.9  -0.1
2.9  -2.77556e-17
2.9  0.1
2.9  0.2
2.9  0.3
2.9  0.4
2.9  0.5
